jugador_id,nombre,equipo_en_nuestros_datos,estado,motivo
339723,Brenner,FC Cincinnati,necesita_revision_manual,nombre_ambiguo
105198,Brice Samba,Rennes,necesita_revision_manual,nombre_ambiguo
123761,Bruno Fernandes,Portugal,necesita_revision_manual,nombre_ambiguo
373514,Bruno Méndez,Granada,necesita_revision_manual,nombre_ambiguo
320313,Caio Henrique,Monaco,necesita_revision_manual,nombre_ambiguo
397568,Calebe,Deportivo Alaves,necesita_revision_manual,nombre_ambiguo
134115,Callum Wilson,West Ham,necesita_revision_manual,nombre_ambiguo
496971,Camilo Durán,Qarabag FK,necesita_revision_manual,nombre_ambiguo
53362,Camilo Vargas,Colombia,necesita_revision_manual,nombre_ambiguo
135813,Carl Johansson,Holstein Kiel,necesita_revision_manual,nombre_ambiguo
374869,Carles Pérez,Getafe,necesita_revision_manual,nombre_ambiguo
347051,Carlos Coronel,Red Bull New York,necesita_revision_manual,nombre_ambiguo
415344,Carlos Domínguez,Celta Vigo,necesita_revision_manual,nombre_ambiguo
140812,Carlos Fernández,Real Sociedad,necesita_revision_manual,nombre_ambiguo
113933,Carlos Gruezo,Ecuador,necesita_revision_manual,nombre_ambiguo
536736,Carlos Guirao,Real Betis,necesita_revision_manual,nombre_ambiguo
363077,Carlos Vinícius,Fulham,necesita_revision_manual,nombre_ambiguo
88526,Casemiro,Brazil,necesita_revision_manual,nombre_ambiguo
409261,Chaka Traorè,AC Milan,necesita_revision_manual,nombre_ambiguo
107462,Charlie Taylor,Southampton,necesita_revision_manual,nombre_ambiguo
430295,Charlie Webster,SC Heerenveen,necesita_revision_manual,nombre_ambiguo
421894,Chiquinho,Mallorca,necesita_revision_manual,nombre_ambiguo
443666,Chris Kouakou,Qarabag FK,necesita_revision_manual,sin_candidatos_exactos
77445,Christian Groß,Werder Bremen,necesita_revision_manual,nombre_ambiguo
39516,Christian Gytkjær,Venezia,necesita_revision_manual,sin_candidatos_exactos
334429,Christian Ramirez,LA Galaxy,necesita_revision_manual,nombre_ambiguo
449301,Christian Rasmussen,Ajax,necesita_revision_manual,nombre_ambiguo
102365,Christoph Kramer,Borussia M.Gladbach,necesita_revision_manual,nombre_ambiguo
228569,Christoph Zimmermann,Darmstadt,necesita_revision_manual,nombre_ambiguo
510583,Christos Papadopoulos,Genoa,necesita_revision_manual,nombre_ambiguo
14199,Claudio Bravo,Real Betis,necesita_revision_manual,nombre_ambiguo
302984,Claudio Bravo,Portland Timbers,necesita_revision_manual,nombre_ambiguo
395954,Costinha,Olympiacos,necesita_revision_manual,nombre_ambiguo
343450,Cristian Arango,San Jose Earthquakes,necesita_revision_manual,nombre_ambiguo
35776,Cristian Gamboa,Bochum,necesita_revision_manual,nombre_ambiguo
137587,Cristian Herrera,Las Palmas,necesita_revision_manual,nombre_ambiguo
69945,Cédric Soares,Arsenal,necesita_revision_manual,nombre_ambiguo
401721,César Blackman,Panama,necesita_revision_manual,nombre_ambiguo
363187,Damian Szymanski,Poland,necesita_revision_manual,nombre_ambiguo
438846,Damián Rodríguez,Celta Vigo,necesita_revision_manual,nombre_ambiguo
134543,Dan Bentley,Wolves,necesita_revision_manual,sin_candidatos_exactos
5780,Dani Alves,Brazil,necesita_revision_manual,nombre_ambiguo
400358,Dani Gómez,Valencia,necesita_revision_manual,nombre_ambiguo
28186,Dani Parejo,Villarreal,necesita_revision_manual,nombre_ambiguo
413720,Dani Pereira,Austin FC,necesita_revision_manual,sin_candidatos_exactos
462987,Dani Pérez,Real Betis,necesita_revision_manual,nombre_ambiguo
6227,Dani Rodríguez,Mallorca,necesita_revision_manual,nombre_ambiguo
483209,Dani Rodríguez,Barcelona,necesita_revision_manual,nombre_ambiguo
